Commit Hash,File Name,Semantic_Similarity,Token_Similarity
2f5a4f8dbc832b0daebcd66ea8b3969589191fa7,minitwit.py,0.9999902844429016,0.9901131090130971
2f5a4f8dbc832b0daebcd66ea8b3969589191fa7,timeline.html,1.0,0.9897091926777218
51c9829a9cdfa2bf301431f686d7a404cc7c5083,foreword.rst,0.9999953508377075,0.9970717320034823
51c9829a9cdfa2bf301431f686d7a404cc7c5083,index.rst,0.9999879002571106,0.9814444805292847
51c9829a9cdfa2bf301431f686d7a404cc7c5083,installation.rst,0.9999976754188538,0.9966344909608863
36071ca1f42a26ef327e9d14e4909a8c92cd4fae,deploying.rst,0.9999998211860657,0.882411422056913
a01e8b49ca66608f0bd46134ff02deeb5724c799,flask.py,0.9999999403953552,0.9632438212687237
de03143f6ecf9a36dd32f16f07309c64d4de03b0,flask_tests.py,,
4affedec356ad8c9e6a107578f03fc7f5c615064,flask_tests.py,0.9999999403953552,0.874336372313072
959b5df00431c436474c5abca304e631c0de7721,setup.py,0.9991136193275452,0.8602813857554367
a42728568e18bedf588be2357b56021ab85b9fad,README,0.9989570379257202,0.7291818514322169
8009bd986940378bba1399dbfce90d03e441467b,deploying.rst,0.9999998211860657,0.9980009618593136
08f1f0dc32004fae01cf96d1eed84e6461e698e5,Makefile,,
08f1f0dc32004fae01cf96d1eed84e6461e698e5,flask_tests.py,,
08f1f0dc32004fae01cf96d1eed84e6461e698e5,flask_tests.py,,
08f1f0dc32004fae01cf96d1eed84e6461e698e5,context_template.html,,
08f1f0dc32004fae01cf96d1eed84e6461e698e5,escaping_template.html,,
ca520fb7e4c29afccc637e61c11429a0f3e8d5ad,flask.py,0.9999011754989624,0.9958471527538575
ca520fb7e4c29afccc637e61c11429a0f3e8d5ad,flask_tests.py,1.0,0.9278476130099268
ca520fb7e4c29afccc637e61c11429a0f3e8d5ad,index.html,,
2d9bb692728fd76b19e467499caa4f5fcb07aede,flask.py,0.9992284774780273,0.9640232681105242
c33675f0251071ea47ce166b81ce8c637842f091,flaskr.py,,
c33675f0251071ea47ce166b81ce8c637842f091,flaskr_tests.py,,
c33675f0251071ea47ce166b81ce8c637842f091,schema.sql,,
c33675f0251071ea47ce166b81ce8c637842f091,style.css,,
c33675f0251071ea47ce166b81ce8c637842f091,layout.html,,
c33675f0251071ea47ce166b81ce8c637842f091,login.html,,
c33675f0251071ea47ce166b81ce8c637842f091,show_entries.html,,
fc94599285aa1aec50b3c9426697249e55edda0a,README,,
fc94599285aa1aec50b3c9426697249e55edda0a,flaskr.py,0.9998389482498169,0.9855668008569225
1d8432ebfd1637eacab79a15e9b7963bf061371c,flask.py,0.9998719692230225,0.9978822674720905
c4f5c2fb9afc1679c085500830bd53fab93ad885,README,0.9999687075614929,0.9780175747763183
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,flaskr.png,,
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,flasky.css_t,0.9999998807907104,0.9568297995676923
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,index.rst,0.9980676174163818,0.7861939172067052
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,quickstart.rst,1.0000001192092896,0.9810637799461762
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,tutorial.rst,,
