Commit Hash,File Name,MI_Before,MI_After,MI_Change,CC_Before,CC_After,CC_Change,LOC_Before,LOC_After,LOC_Change,Semantic_Similarity,Token_Similarity,Semantic_class,Token_class,Classes_Agree
07688d7b9302fd47cfd0ea053171ad6561c3f9b9,helpers.py,44.362989424155295,44.362989424155295,0.0,63.0,63.0,0.0,500.0,500.0,0.0,1.0,0.9993944897666552,Minor,Minor,YES
0770f5c6375e3e45fa3ac918217df5d885176173,flask.py,,,,,,,,,,0.9998152256011964,0.998305831449732,Minor,Minor,YES
07e515b071e32e1b22e9992cedabeb082a8cde6c,installation.rst,,,,,,,,,,1.0000001192092896,0.9960830269048532,Minor,Minor,YES
0851d956b39634d2cd1618e8c075149d85fb599f,README,,,,,,,,,,0.9970797300338744,0.5989787127473308,Minor,Major,NO
085faf2a776020c9422bf57b5e37b05705d6b95f,security.rst,,,,,,,,,,0.9999998211860656,0.9639639161377596,Minor,Minor,YES
086ecdb91829d43a9b948c6d97524d8de18e2fa4,app.py,,,,,,,,,,0.9999998807907104,0.9904082505255936,Minor,Minor,YES
086ecdb91829d43a9b948c6d97524d8de18e2fa4,config.rst,,,,,,,,,,1.0,0.9987967746433212,Minor,Minor,YES
086ecdb91829d43a9b948c6d97524d8de18e2fa4,extensiondev.rst,,,,,,,,,,0.9999999403953552,0.9457414112162852,Minor,Minor,YES
08bf538fb4d173fffcda1397e8485b069c03e718,design.rst,,,,,,,,,,1.0000001192092896,0.9313432389739084,Minor,Minor,YES
08f1f0dc32004fae01cf96d1eed84e6461e698e5,Makefile,,,,,,,,,,,,Major,Major,YES
08f1f0dc32004fae01cf96d1eed84e6461e698e5,context_template.html,,,,,,,,,,,,Major,Major,YES
08f1f0dc32004fae01cf96d1eed84e6461e698e5,escaping_template.html,,,,,,,,,,,,Major,Major,YES
08f1f0dc32004fae01cf96d1eed84e6461e698e5,flask_tests.py,,42.999201717328646,,,51.0,,,179.0,,,,Major,Major,YES
08f1f0dc32004fae01cf96d1eed84e6461e698e5,flask_tests.py,,42.999201717328646,,,51.0,,,179.0,,,,Major,Major,YES
08f1f0dc32004fae01cf96d1eed84e6461e698e5,flask_tests.py,,42.999201717328646,,,51.0,,,179.0,,,,Major,Major,YES
08f1f0dc32004fae01cf96d1eed84e6461e698e5,flask_tests.py,,42.999201717328646,,,51.0,,,179.0,,,,Major,Major,YES
0906f7d58930e047f7ec67290997b552e587e219,_themes,,,,,,,,,,,,Major,Major,YES
0906f7d58930e047f7ec67290997b552e587e219,styleguide.rst,,,,,,,,,,0.9999873638153076,0.9886318778673964,Minor,Minor,YES
09a06abb774062e72d106fa2a732dcad8fd96c56,sqlalchemy.rst,,,,,,,,,,1.0000001192092896,0.9974146190517388,Minor,Minor,YES
09e7b5eb2f3a3da0b09ffe4cd3cad8b028530874,upgrading.rst,,,,,,,,,,0.9953235387802124,0.7105899847757934,Minor,Major,NO
0a93c552cc3318396e44c6ab1282190898ce0012,CHANGES,,,,,,,,,,0.9999358654022216,0.9891328051505794,Minor,Minor,YES
0a93c552cc3318396e44c6ab1282190898ce0012,flask_tests.py,,,,,,,,,,0.9998981952667236,0.9887174629602642,Minor,Minor,YES
0a93c552cc3318396e44c6ab1282190898ce0012,templating.py,81.8644846543605,80.4607343795051,-1.4037502748553976,16.0,19.0,3.0,86.0,88.0,2.0,0.9996752738952636,0.9464979214745424,Minor,Minor,YES
0b8e01b4450d0ba8cb65751d866568fddc155fa4,quickstart.rst,,,,,,,,,,1.0000001192092896,0.9936972040225304,Minor,Minor,YES
0b9c2b5eb1b604cd76d9252e8e9628df731ea572,flask.py,,,,,,,,,,1.0,0.9979807894523636,Minor,Minor,YES
0bb8b4f9a1c61fcf473e5ca7a10cc3ed4f30766f,setup.py,100.0,100.0,0.0,0.0,0.0,,19.0,69.0,50.0,0.9730376601219176,0.238947095721106,Minor,Major,NO
0bf777ed81d5296fb722931d35e5db4333e3de39,CHANGES,,,,,,,,,,0.9999116659164428,0.9884772411234992,Minor,Minor,YES
0bf777ed81d5296fb722931d35e5db4333e3de39,helpers.py,44.362989424155295,44.8104608357965,0.4474714116412031,63.0,63.0,0.0,500.0,496.0,-4.0,1.0,0.9866276298288428,Minor,Minor,YES
0c54d0a0e5dfec25cd60329e09622d42905d0969,index.rst,,,,,,,,,,0.9998666644096376,0.9787646095521554,Minor,Minor,YES
0c75be1172000ad4d0b60920ef5a6fb78880a7d2,setup.py,,,,,,,,,,0.9999998807907104,1.0000000000000004,Minor,Minor,YES
0d9b6347d6c77762fb888c067e91e428d65b8601,jquery.rst,,,,,,,,,,0.999991238117218,0.9984809343053026,Minor,Minor,YES
0d9b6347d6c77762fb888c067e91e428d65b8601,mongokit.rst,,,,,,,,,,0.9999998211860656,0.997588612522438,Minor,Minor,YES
0da39c76e3c67293aef2234b43aff8728d9002eb,flask.py,,,,,,,,,,1.0,0.9600163910763369,Minor,Minor,YES
0da39c76e3c67293aef2234b43aff8728d9002eb,packages.rst,,,,,,,,,,0.9998446702957152,0.4783831056590154,Minor,Major,NO
0da56d7f5cfb6a637129444bfe0d6bf2584363ac,CHANGES,,,,,,,,,,0.9999803900718688,0.9778310466937472,Minor,Minor,YES
0da56d7f5cfb6a637129444bfe0d6bf2584363ac,app.py,,,,,,,,,,0.9999387264251708,0.9752863516758126,Minor,Minor,YES
0da56d7f5cfb6a637129444bfe0d6bf2584363ac,flask_tests.py,,,,,,,,,,0.9999998807907104,0.9879134984033748,Minor,Minor,YES
0da56d7f5cfb6a637129444bfe0d6bf2584363ac,helpers.py,44.8104608357965,44.1737714853382,-0.6366893504582976,63.0,73.0,10.0,496.0,527.0,31.0,0.9998819828033448,0.9425137548632224,Minor,Minor,YES
