Commit Hash,File Name,MI_Before,MI_After,MI_Change,CC_Before,CC_After,CC_Change,LOC_Before,LOC_After,LOC_Change
6e2be6a0b3aba4ab49cf3ed1a10ac13c6b771aba,flask.py,,,,,,,,,
6e2be6a0b3aba4ab49cf3ed1a10ac13c6b771aba,flask_tests.py,,,,,,,,,
ade490514dd6d83adc7610f69f9c4cd68df47110,flask.py,,,,,,,,,
ade490514dd6d83adc7610f69f9c4cd68df47110,flask_tests.py,,,,,,,,,
3088a9371e065808fd0091741f62bc242bcab1f9,flask.py,,,,,,,,,
3088a9371e065808fd0091741f62bc242bcab1f9,flask_tests.py,,,,,,,,,
5acc491c94262912baa30a4cffc780a46b7faf56,flask.py,,,,,,,,,
95750b3287bfa21fbb706f10a3a9fbcef01c089e,flask.py,,,,,,,,,
95750b3287bfa21fbb706f10a3a9fbcef01c089e,flask_tests.py,,,,,,,,,
06ec917ddedc618944670b39ccd5f4cb862882b2,flask.py,,,,,,,,,
9f0b2429d638e54cb534b555c393d0770dfc1a8f,flask_tests.py,,,,,,,,,
715f64d2afef0e5b9800f0e0fb0eb9c892e1573a,flask.py,,,,,,,,,
3a1e51865786474c44a04c0d422515047dd27223,flask.py,,,,,,,,,
9f6bc93e4de36fc209eb1203845e9505df1ca379,flask.py,,,,,,,,,
9f6bc93e4de36fc209eb1203845e9505df1ca379,flask_tests.py,,,,,,,,,
3c821a0fa45082bcec73dfb08662fb1de5263c48,minitwit.py,48.945650333297216,48.90029400499156,-0.04535632830565817,44.0,44.0,0.0,248.0,249.0,1.0
3c821a0fa45082bcec73dfb08662fb1de5263c48,flask.py,,,,,,,,,
3c821a0fa45082bcec73dfb08662fb1de5263c48,setup.py,100.0,100.0,0.0,0.0,0.0,,69.0,71.0,2.0
75057bb4112d16acc7ed5dafce6a8168b343fd78,flask.py,,,,,,,,,
af3b73f70d5fce72181530d384519ae31d77c772,flask.py,,,,,,,,,
3053fcdb0d6189ad1deca6fcfa16443dad4baf8c,flaskr_tests.py,72.83432679706192,71.15958362963855,-1.6747431674233724,17.0,18.0,1.0,65.0,70.0,5.0
3053fcdb0d6189ad1deca6fcfa16443dad4baf8c,minitwit_tests.py,53.35246714982622,52.59502575604818,-0.7574413937780378,45.0,45.0,0.0,144.0,149.0,5.0
00f87f679cdd63b642675d86d073882fb8b19430,flask.py,,,,,,,,,
9d340ad7477774a19a7bdffc83d6cb8cb3e05edc,flask.py,,,,,,,,,
7cf5a9bf6e34fc57f82e560f01c408fbe603e9d4,flask.py,,,,,,,,,
b6e73305392c9de052e51cca6fae8fee12ae231e,flask.py,,,,,,,,,
